bear_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
DR,2004/2/1,2014/8/26,10.56470881,F,wild,41.15,38.455,27.43,30.875,31.96,33.275,36.215,37.355,11.695,10.465,24.715,12.805,17.79
DR,2004/2/1,2016/8/6,12.51000211,F,wild,46.24,43.755,32,40,27.98,32.525,36.37,30.015,10.01,11.69,21.335,10.2,15.105
DR,2004/2/1,2019/7/5,15.42231348,F,wild,45.345,40.86,29.335,40.145,36.89,30.255,36.42,38.205,8.085,13.69,18.255,11.095,15.8
DR,2004/2/1,2022/8/24,18.5592219,F,wild,55.21,42.925,35.9,41.17,36.055,38.74,39.935,42.575,11.21,17.24,30.655,13.61,20.175
GI,2010/2/1,2013/8/14,3.531827515,F,wild,30.94,25.52,17.385,23.66,24.765,28.83,30.045,28.12,8.725,5.51,10.425,10.585,11.855
GI,2010/2/1,2018/8/22,8.55369638,F,wild,42.205,35.185,23.475,28.295,19.54,30.765,30.285,22.675,7.93,11.665,18.21,11.245,14.15
GI,2010/2/1,2022/8/22,12.55370682,F,wild,47.145,46.145,31.1,39.895,30.97,35.425,39.33,36.135,7.505,11.17,23.13,15.235,18.64
HC,2007/2/1,2021/6/24,14.39222486,F,wild,43.645,37.61,29.04,31.975,31.055,33.275,37.26,35.85,5.93,14.16,25.715,13.375,15.17
HC,2007/2/1,2022/8/22,15.55373032,F,wild,43.375,43.095,30.645,42.77,32.84,35.14,37.635,38.255,9.955,11.155,22.77,15.165,17.43
KR,2001/2/1,2014/8/25,13.56190104,F,wild,44.995,37.41,28.465,31.56,26.62,29.01,33.495,31.075,9.895,13.025,22.21,9.7,15.45
KR,2001/2/1,2018/7/6,17.42500761,F,wild,46.16,42.23,35.945,37.175,22.45,31.7,33.83,27.105,5.52,24.455,21.89,11.615,15.33
KR,2001/2/1,2021/6/24,20.39217731,F,wild,54.52,50.315,36.48,43.345,38.75,40.43,40.45,42.29,13.13,15.415,23.995,17.07,19.695
LI,1996/2/1,2021/8/17,25.54006528,F,wild,62.425,59.25,44.61,54.27,40.73,41.97,44.355,50.32,14.635,15.08,23.895,18.975,23.9
LI,1996/2/1,2014/8/15,18.53458213,F,wild,51.09,44.635,36.28,42.87,24.26,34.275,40.25,31.135,9.19,16.1,18.66,11.38,16.545
LI,1996/2/1,2016/7/5,20.42236996,F,wild,53.195,47.605,35.14,50.595,29.115,38.805,42.005,37.37,12.205,12.175,22.37,13.835,17.645
LI,1996/2/1,2022/8/23,26.55647942,F,wild,61.955,57.695,45.68,53.445,42.57,44.58,46.88,46.78,11.8,16.455,27.34,16.64,25.075
RI,2002/2/1,2014/8/28,12.57013479,F,wild,47.095,42.54,31.65,34.87,29.98,33.505,38.875,36.46,8.945,13.21,17.94,11.615,16.25
RI,2002/2/1,2016/8/6,14.50994707,F,wild,46.49,48.605,30.505,41.155,28.65,34.28,39.535,33.175,13.775,14.455,15.62,12.47,16.48
RI,2002/2/1,2021/8/18,19.54277892,F,wild,55.45,56.02,40.575,47.075,33.285,36.23,39.645,35.565,12.825,18.21,26.305,13.615,17.19
WK,2002/2/1,2015/8/29,13.57285351,F,wild,52.375,45.255,34.395,37.84,30.515,32.915,31.655,33.69,8.81,13.585,18.335,11.325,15.145
WK,2002/2/1,2016/7/4,14.41960212,F,wild,47.95,45.35,34.075,35.99,39.36,35.615,40.615,40.145,10.76,16.54,23.085,11.635,15.575
WK,2002/2/1,2018/7/6,16.42502818,F,wild,51.48,47.965,34.39,43.2,31.39,33.555,36.105,36.02,11.495,17.715,24.835,12.465,16.835
WK,2002/2/1,2020/8/29,18.57291066,F,wild,55.275,45.465,35.695,41.28,25.595,40.125,42.475,30.31,14.815,12.705,19.47,10.94,14.925
